run_date,n_scored,n_total,top_pick_acc,mean_logloss,mean_brier,flat_baseline_ll,baserate_baseline_ll,n_legs,binary_logloss,binary_brier
2026-06-15,8,72,0.375,1.1043,0.6793,1.0986,0.9743,24.0,0.6424,0.2264
2026-06-16,12,72,0.4167,1.0614,0.6447,1.0986,0.8877,36.0,0.6172,0.2149
2026-06-17,16,72,0.3125,1.1716,0.7358,1.0986,0.8815,48.0,0.6825,0.2453
2026-06-18,20,72,0.45,1.0447,0.6408,1.0986,0.9433,60.0,0.6129,0.2136
2026-06-19,24,72,0.5,1.0263,0.6275,1.0986,0.9743,72.0,0.6033,0.2092
2026-06-20,28,72,0.5357,0.9973,0.6058,1.0986,0.9414,84.0,0.5876,0.2019
2026-06-21,36,72,0.5833,0.9671,0.5837,1.0986,0.9982,108.0,0.5715,0.1946
2026-06-22,36,72,0.5833,0.9671,0.5837,1.0986,0.9982,108.0,0.5715,0.1946
2026-06-23,40,72,0.575,0.9639,0.5823,1.0986,1.0169,120.0,0.5697,0.1941
2026-06-24,44,72,0.6136,0.938,0.5627,1.0986,1.0093,132.0,0.5555,0.1876
2026-06-25,48,72,0.625,0.9231,0.5519,1.0986,1.013,144.0,0.5474,0.184
2026-06-26,54,72,0.6481,0.9157,0.5456,1.0986,1.008,162.0,0.5433,0.1819
2026-06-27,60,72,0.6167,0.9275,0.5535,1.0986,1.0386,180.0,0.5492,0.1845
2026-06-28,72,72,0.625,0.9159,0.5435,1.0986,1.0649,216.0,0.5417,0.1812
