wc,date,home_team,away_team,over15,under15,btts_yes,btts_no,over25,under25
2018,2018-06-14,Russia,Saudi Arabia,,,,,,
2018,2018-06-15,Egypt,Uruguay,,,,,,
2018,2018-06-15,Morocco,Iran,,,,,,
2018,2018-06-15,Portugal,Spain,,,,,,
2018,2018-06-16,France,Australia,,,,,,
2018,2018-06-16,Argentina,Iceland,,,,,,
2018,2018-06-16,Peru,Denmark,,,,,,
2018,2018-06-16,Croatia,Nigeria,,,,,,
2018,2018-06-17,Costa Rica,Serbia,,,,,,
2018,2018-06-17,Germany,Mexico,,,,,,
2018,2018-06-17,Brazil,Switzerland,,,,,,
2018,2018-06-18,Sweden,South Korea,,,,,,
2018,2018-06-18,Belgium,Panama,,,,,,
2018,2018-06-18,Tunisia,England,,,,,,
2018,2018-06-19,Colombia,Japan,,,,,,
2018,2018-06-19,Poland,Senegal,,,,,,
2018,2018-06-19,Russia,Egypt,,,,,,
2018,2018-06-20,Portugal,Morocco,,,,,,
2018,2018-06-20,Uruguay,Saudi Arabia,,,,,,
2018,2018-06-20,Iran,Spain,,,,,,
2018,2018-06-21,Denmark,Australia,,,,,,
2018,2018-06-21,France,Peru,,,,,,
2018,2018-06-21,Argentina,Croatia,,,,,,
2018,2018-06-22,Brazil,Costa Rica,,,,,,
2018,2018-06-22,Nigeria,Iceland,,,,,,
2018,2018-06-22,Serbia,Switzerland,,,,,,
2018,2018-06-23,Belgium,Tunisia,,,,,,
2018,2018-06-23,South Korea,Mexico,,,,,,
2018,2018-06-23,Germany,Sweden,,,,,,
2018,2018-06-24,England,Panama,,,,,,
2018,2018-06-24,Japan,Senegal,,,,,,
2018,2018-06-24,Poland,Colombia,,,,,,
2018,2018-06-25,Russia,Uruguay,,,,,,
2018,2018-06-25,Saudi Arabia,Egypt,,,,,,
2018,2018-06-25,Spain,Morocco,,,,,,
2018,2018-06-25,Iran,Portugal,,,,,,
2018,2018-06-26,Australia,Peru,,,,,,
2018,2018-06-26,Denmark,France,,,,,,
2018,2018-06-26,Nigeria,Argentina,,,,,,
2018,2018-06-26,Iceland,Croatia,,,,,,
2018,2018-06-27,South Korea,Germany,,,,,,
2018,2018-06-27,Mexico,Sweden,,,,,,
2018,2018-06-27,Serbia,Brazil,,,,,,
2018,2018-06-27,Switzerland,Costa Rica,,,,,,
2018,2018-06-28,Japan,Poland,,,,,,
2018,2018-06-28,Senegal,Colombia,,,,,,
2018,2018-06-28,Panama,Tunisia,,,,,,
2018,2018-06-28,England,Belgium,,,,,,
2018,2018-06-30,France,Argentina,,,,,,
2018,2018-06-30,Uruguay,Portugal,,,,,,
2018,2018-07-01,Russia,Spain,,,,,,
2018,2018-07-01,Croatia,Denmark,,,,,,
2018,2018-07-02,Brazil,Mexico,,,,,,
2018,2018-07-02,Belgium,Japan,,,,,,
2018,2018-07-03,Sweden,Switzerland,,,,,,
2018,2018-07-03,Colombia,England,,,,,,
2018,2018-07-06,Uruguay,France,,,,,,
2018,2018-07-06,Brazil,Belgium,,,,,,
2018,2018-07-07,Sweden,England,,,,,,
2018,2018-07-07,Russia,Croatia,,,,,,
2018,2018-07-10,France,Belgium,,,,,,
2018,2018-07-11,Croatia,England,,,,,,
2018,2018-07-14,Belgium,England,,,,,,
2018,2018-07-15,France,Croatia,,,,,,
2022,2022-11-20,Qatar,Ecuador,,,,,,
2022,2022-11-21,Senegal,Netherlands,,,,,,
2022,2022-11-21,England,Iran,,,,,,
2022,2022-11-21,United States,Wales,,,,,,
2022,2022-11-22,Argentina,Saudi Arabia,,,,,,
2022,2022-11-22,Mexico,Poland,,,,,,
2022,2022-11-22,Denmark,Tunisia,,,,,,
2022,2022-11-22,France,Australia,,,,,,
2022,2022-11-23,Germany,Japan,,,,,,
2022,2022-11-23,Spain,Costa Rica,,,,,,
2022,2022-11-23,Morocco,Croatia,,,,,,
2022,2022-11-23,Belgium,Canada,,,,,,
2022,2022-11-24,Switzerland,Cameroon,,,,,,
2022,2022-11-24,Brazil,Serbia,,,,,,
2022,2022-11-24,Uruguay,South Korea,,,,,,
2022,2022-11-24,Portugal,Ghana,,,,,,
2022,2022-11-25,Qatar,Senegal,,,,,,
2022,2022-11-25,Netherlands,Ecuador,,,,,,
2022,2022-11-25,Wales,Iran,,,,,,
2022,2022-11-25,England,United States,,,,,,
2022,2022-11-26,Poland,Saudi Arabia,,,,,,
2022,2022-11-26,Argentina,Mexico,,,,,,
2022,2022-11-26,Tunisia,Australia,,,,,,
2022,2022-11-26,France,Denmark,,,,,,
2022,2022-11-27,Japan,Costa Rica,,,,,,
2022,2022-11-27,Spain,Germany,,,,,,
2022,2022-11-27,Belgium,Morocco,,,,,,
2022,2022-11-27,Croatia,Canada,,,,,,
2022,2022-11-28,Cameroon,Serbia,,,,,,
2022,2022-11-28,Brazil,Switzerland,,,,,,
2022,2022-11-28,South Korea,Ghana,,,,,,
2022,2022-11-28,Portugal,Uruguay,,,,,,
2022,2022-11-29,Ecuador,Senegal,,,,,,
2022,2022-11-29,Qatar,Netherlands,,,,,,
2022,2022-11-29,Wales,England,,,,,,
2022,2022-11-29,Iran,United States,,,,,,
2022,2022-11-30,Poland,Argentina,,,,,,
2022,2022-11-30,Saudi Arabia,Mexico,,,,,,
2022,2022-11-30,Australia,Denmark,,,,,,
2022,2022-11-30,Tunisia,France,,,,,,
2022,2022-12-01,Japan,Spain,,,,,,
2022,2022-12-01,Costa Rica,Germany,,,,,,
2022,2022-12-01,Croatia,Belgium,,,,,,
2022,2022-12-01,Canada,Morocco,,,,,,
2022,2022-12-02,Serbia,Switzerland,,,,,,
2022,2022-12-02,Cameroon,Brazil,,,,,,
2022,2022-12-02,Ghana,Uruguay,,,,,,
2022,2022-12-02,South Korea,Portugal,,,,,,
2022,2022-12-03,Netherlands,United States,,,,,,
2022,2022-12-03,Argentina,Australia,,,,,,
2022,2022-12-04,France,Poland,,,,,,
2022,2022-12-04,England,Senegal,,,,,,
2022,2022-12-05,Japan,Croatia,,,,,,
2022,2022-12-05,Brazil,South Korea,,,,,,
2022,2022-12-06,Morocco,Spain,,,,,,
2022,2022-12-06,Portugal,Switzerland,,,,,,
2022,2022-12-09,Croatia,Brazil,,,,,,
2022,2022-12-09,Netherlands,Argentina,,,,,,
2022,2022-12-10,Morocco,Portugal,,,,,,
2022,2022-12-10,England,France,,,,,,
2022,2022-12-13,Argentina,Croatia,,,,,,
2022,2022-12-14,France,Morocco,,,,,,
2022,2022-12-17,Croatia,Morocco,,,,,,
2022,2022-12-18,Argentina,France,,,,,,
